deliberation,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
2/EVALUATED20230608-a1r-nc-session2-p_transcript.csv,0,0,0,0,0,0,0,2,0
2/EVALUATED20230603-a1r-nc-session2-q_transcript.csv,0,0,2,0,0,0,1,41,2
2/EVALUATED20230608-a1r-yc-session2-b_transcript 2.csv,1,1,3,0,1,1,0,19,0
2/EVALUATED20230603-a1r-nc-session2-p_transcript.csv,3,0,1,3,0,1,1,47,6
2/EVALUATED20230603-a1r-yc-session2-p_transcript.csv,1,0,3,1,0,0,2,38,6
2/EVALUATED20230603-a1r-yc-session2-d_transcript.csv,1,1,9,1,0,0,3,54,5
2/EVALUATED20230608-a1r-nc-session2-o_transcript.csv,0,0,0,0,0,0,1,7,2
2/EVALUATED20230603-a1r-nc-session2-k_transcript.csv,1,0,3,0,0,0,2,34,6
2/EVALUATED20230603-a1r-nc-session2-c_transcript.csv,1,1,2,1,0,4,0,68,6
2/EVALUATED20230608-a1r-nc-session2-g_transcript.csv,0,0,0,0,0,0,0,6,1
2/EVALUATED20230603-a1r-nc-session2-l_transcript [correct].csv,1,0,2,1,0,0,0,31,1
2/EVALUATED20230608-a1r-yc-session2-h_transcript.csv,1,0,0,0,0,0,0,13,2
2/EVALUATED20230603-a1r-yc-session2-l_transcript.csv,0,0,1,0,0,0,0,18,3
2/EVALUATED20230608-a1r-yc-session2-g_transcript.csv,1,0,3,1,0,0,0,18,2
2/EVALUATED20230603-a1r-yc-session2-c_transcript.csv,4,0,2,1,0,0,0,53,3
2/EVALUATED20230608-a1r-nc-session2-h_transcript.csv,0,0,0,0,0,0,0,7,0
2/EVALUATED20230603-a1r-nc-session2-d_transcript.csv,0,0,0,0,0,0,0,28,3
2/EVALUATED20230603-a1r-yc-session2-k_transcript.csv,7,0,1,0,0,0,3,57,4
2/EVALUATED20230603-a1r-nc-session2-e_transcript.csv,2,0,4,0,0,0,3,30,7
2/EVALUATED20230608-a1r-nc-session2-a_transcript.csv,4,3,5,0,2,1,3,50,2
2/EVALUATED20230603-a1r-yc-session2-j_transcript.csv,1,3,0,2,0,0,1,56,5
2/EVALUATED20230603-a1r-yc-session2-b_transcript.csv,3,0,1,1,0,0,0,37,8
2/EVALUATED20230608-a1r-yc-session2-f_transcript.csv,2,0,0,2,0,0,1,20,2
2/EVALUATED20230608-a1r-nc-session2-i_transcript.csv,0,2,2,2,2,2,0,9,2
2/EVALUATED20230603-a1r-nc-session2-m_transcript.csv,7,0,6,3,0,0,10,74,12
2/EVALUATED20230608-a1r-nc-session2-f_transcript.csv,1,2,0,0,0,0,0,15,0
2/EVALUATED20230603-a1r-nc-session2-b_transcript.csv,7,1,4,4,0,0,4,60,6
2/EVALUATED20230603-a1r-yc-session2-m_transcript.csv,2,1,2,2,1,1,3,30,4
2/EVALUATED20230608-a1r-yc-session2-i_transcript.csv,1,0,0,1,0,0,0,12,2
2/EVALUATED20230608-a1r-yc-session2-a_transcript.csv,0,0,1,1,0,0,0,9,1
2/EVALUATED20230603-a1r-yc-session2-e_transcript.csv,4,0,4,0,0,0,1,67,6
2/EVALUATED20230603-a1r-nc-session2-j_transcript.csv,0,0,1,0,0,2,6,37,8
2/EVALUATED20230608-a1r-nc-session2-n_transcript.csv,0,0,4,2,0,0,0,14,0
2/EVALUATED20230608-a1r-yc-session2-k_transcript.csv,2,1,1,1,0,0,2,15,2
2/EVALUATED20230603-a1r-yc-session2-o_transcript.csv,0,0,1,0,0,0,0,11,0
2/EVALUATED20230608-a1r-nc-session2-d_transcript.csv,0,0,1,0,0,0,1,8,2
2/EVALUATED20230608-a1r-nc-session2-l_transcript.csv,0,0,0,0,0,0,0,4,1
2/EVALUATED20230603-a1r-nc-session2-h_transcript.csv,4,0,0,3,0,0,1,42,10
2/EVALUATED20230603-a1r-yc-session2-g_transcript.csv,2,0,0,0,0,0,4,22,4
2/EVALUATED20230608-a1r-yc-session2-c_transcript.csv,0,0,0,0,0,0,0,7,2
2/EVALUATED20230603-a1r-yc-session2-h_transcript.csv,4,2,3,4,0,1,2,64,6
2/EVALUATED20230608-a1r-yc-session2-l_transcript.csv,0,0,0,0,0,0,0,5,0
2/EVALUATED20230608-a1r-nc-session2-c_transcript.csv,2,1,2,0,0,0,1,23,0
2/EVALUATED20230603-a1r-nc-session2-g_transcript.csv,2,1,5,2,1,1,6,46,3
2/EVALUATED20230603-a1r-nc-session2-o_transcript.csv,1,3,1,1,0,0,5,38,5
2/EVALUATED20230608-a1r-nc-session2-k_transcript.csv,0,0,0,0,0,0,0,4,1
2/EVALUATED20230608-a1r-yc-session2-d_transcript.csv,0,0,2,0,0,0,0,19,0
2/EVALUATED20230608-a1r-nc-session2-j_transcript.csv,0,0,0,1,0,0,0,7,0
2/EVALUATED20230603-a1r-nc-session2-n_transcript.csv,1,0,4,0,0,0,0,44,6
2/EVALUATED20230603-a1r-yc-session2-a_transcript.csv,4,1,1,4,0,1,0,55,2
2/EVALUATED20230608-a1r-yc-session2-e_transcript.csv,1,1,1,0,0,0,0,15,0
2/EVALUATED20230608-a1r-yc-session2-m_transcript.csv,0,2,0,0,0,0,0,4,0
2/EVALUATED20230603-a1r-yc-session2-i_transcript.csv,1,0,0,1,0,0,4,38,11
2/EVALUATED20230603-a1r-nc-session2-f_transcript.csv,8,4,14,0,1,2,3,70,9
2/EVALUATED20230608-a1r-nc-session2-b_transcript.csv,0,0,0,0,0,0,0,2,0
2/EVALUATED20230603-a1r-nc-session2-i_transcript.csv,2,0,3,4,1,0,3,44,12
2/EVALUATED20230608-a1r-nc-session2-m_transcript.csv,0,0,1,0,0,0,0,12,0
2/EVALUATED20230603-a1r-yc-session2-f_transcript.csv,5,0,1,1,2,1,6,61,6
2/EVALUATED20230603-a1r-yc-session2-n_transcript.csv,3,1,1,0,1,0,3,45,2
2/EVALUATED20230608-a1r-yc-session2-j_transcript.csv,2,0,1,2,0,0,2,29,3
2/EVALUATED20230608-a1r-nc-session2-e_transcript-2.csv,1,1,1,0,0,0,1,20,1
2/EVALUATED20230603-a1r-nc-session2-a_transcript.csv,2,1,6,1,0,0,1,48,4
