deliberation,comparisonToCurrentSystem,votingDecisions,partyRepresentation,voterTurnout,strategicVoting,moderateCandidates,moneyInPolitics,other,notRelevant
EVALUATED20230603-a1r-yc-session1-h_transcript.csv,11,10,36,4,5,7,0,50,3
EVALUATED20230603-a1r-nc-session1-g_transcript.csv,11,4,8,10,0,0,13,33,13
EVALUATED20230603-a1r-nc-session1-o_transcript.csv,14,4,23,7,2,6,2,56,4
EVALUATED20230606-a1r-nc-session1-p_transcript.csv,0,0,1,1,0,1,1,11,1
EVALUATED20230603-a1r-nc-session1-h_transcript.csv,4,3,15,8,0,1,0,40,2
EVALUATED20230603-a1r-yc-session1-g_transcript.csv,8,10,24,5,5,1,2,45,3
EVALUATED20230603-a1r-nc-session1-i_transcript.csv,5,3,20,2,0,1,12,48,5
EVALUATED20230603-a1r-yc-session1-n_transcript.csv,2,6,10,1,0,0,1,28,4
EVALUATED20230603-a1r-nc-session1-n_transcript.csv,1,0,7,2,0,1,0,12,1
EVALUATED20230603-a1r-yc-session1-a_transcript.csv,10,11,11,0,1,1,8,67,1
EVALUATED20230603-a1r-yc-session1-i_transcript.csv,8,12,20,2,1,3,7,58,7
EVALUATED20230603-a1r-nc-session1-f_transcript.csv,8,11,18,3,3,6,6,76,9
EVALUATED20230603-a1r-yc-session1-c_transcript.csv,1,6,14,6,2,1,2,35,1
EVALUATED20230603-a1r-nc-session1-l_transcript.csv,5,4,14,2,1,3,0,41,3
EVALUATED20230603-a1r-nc-session1-d_transcript.csv,10,6,11,2,1,0,0,29,3
EVALUATED20230603-a1r-yc-session1-k_transcript.csv,4,9,24,8,3,5,0,77,2
EVALUATED20230603-a1r-yc-session1-d_transcript.csv,5,5,23,12,1,3,1,56,4
EVALUATED20230603-a1r-nc-session1-k_transcript.csv,4,2,7,1,0,0,0,24,3
EVALUATED20230603-a1r-nc-session1-c_transcript.csv,8,5,15,2,0,9,3,49,7
EVALUATED20230606-a1r-nc-session1-o_transcript .csv,5,2,12,7,0,5,0,28,4
EVALUATED20230603-a1r-yc-session1-f_transcript 2.csv,4,10,27,2,10,1,5,48,2
EVALUATED20230603-a1r-nc-session1-b_transcript.csv,5,1,19,2,0,2,13,35,7
EVALUATED20230603-a1r-yc-session1-m_transcript.csv,12,5,33,6,2,8,1,48,4
EVALUATED20230603-a1r-yc-session1-e_transcript.csv,5,10,27,5,1,2,2,73,1
EVALUATED20230603-a1r-nc-session1-j_transcript.csv,6,4,24,1,2,4,4,31,4
EVALUATED20230603-a1r-nc-session1-e_transcript.csv,3,3,6,3,1,2,1,31,0
EVALUATED20230603-a1r-yc-session1-j_transcript.csv,12,11,33,19,6,3,10,57,5
EVALUATED20230603-a1r-yc-session1-b_transcript.csv,8,1,12,3,1,2,10,36,5
EVALUATED20230603-a1r-nc-session1-m_transcript.csv,7,9,15,6,6,4,2,62,3
EVALUATED20230606-a1r-nc-session1-a_transcript.csv,8,6,28,1,3,0,6,50,3
EVALUATED20230603-a1r-nc-session1-q_transcript.csv,9,5,19,1,1,3,0,40,4
EVALUATED20230606-a1r-yc-session1-f_transcript.csv,14,5,18,5,4,2,12,47,10
EVALUATED20230606-a1r-nc-session1-i_transcript.csv,10,8,29,2,2,4,4,36,0
EVALUATED20230606-a1r-nc-session1-f_transcript.csv,3,2,6,0,0,0,1,10,1
EVALUATED20230606-a1r-yc-session1-i_transcript.csv,13,9,16,7,2,2,6,50,3
EVALUATED20230606-a1r-yc-session1-a_transcript.csv,1,3,6,1,0,2,0,17,0
EVALUATED20230606-a1r-nc-session1-n_transcript.csv,4,3,10,7,4,2,1,49,3
EVALUATED20230606-a1r-nc-session1-g_transcript.csv,3,4,20,2,1,2,0,44,1
EVALUATED20230606-a1r-yc-session1-h_transcript.csv,6,5,20,2,2,3,3,46,2
EVALUATED20230603-a1r-nc-session1-a_transcript .csv,3,4,16,1,0,2,2,35,4
EVALUATED20230606-a1r-yc-session1-g_transcript.csv,3,11,20,1,3,6,3,59,1
EVALUATED20230606-a1r-nc-session1-h_transcript.csv,6,5,9,3,0,1,1,44,4
EVALUATED20230603-a1r-nc-session1-p_transcript.csv,2,6,16,4,3,3,0,36,0
EVALUATED20230606-a1r-nc-session1-j_transcript.csv,0,3,1,0,0,0,0,17,1
EVALUATED20230606-a1r-yc-session1-e_transcript.csv,6,4,11,0,2,0,2,15,4
EVALUATED20230606-a1r-yc-session1-m_transcript.csv,2,0,0,0,0,0,0,16,2
EVALUATED20230606-a1r-nc-session1-b_transcript.csv,2,8,11,5,1,1,0,36,3
EVALUATED20230606-a1r-nc-session1-m_transcript.csv,5,6,16,2,0,3,0,42,3
EVALUATED20230606-a1r-yc-session1-b_transcript.csv,10,3,25,14,1,3,7,46,7
EVALUATED20230606-a1r-yc-session1-j_transcript.csv,12,9,37,15,4,1,3,67,10
EVALUATED20230606-a1r-nc-session1-e_transcript.csv,7,7,23,6,2,5,2,62,7
EVALUATED20230606-a1r-yc-session1-k_transcript.csv,4,8,16,1,1,2,1,41,5
EVALUATED20230606-a1r-nc-session1-d_transcript.csv,2,2,9,0,0,0,0,12,0
EVALUATED20230606-a1r-nc-session1-l_transcript.csv,4,3,3,3,1,1,1,13,2
EVALUATED20230606-a1r-yc-session1-c_transcript.csv,3,1,10,2,1,1,0,23,3
EVALUATED20230606-a1r-yc-session1-l_transcript.csv,4,4,5,4,1,3,1,36,2
EVALUATED20230606-a1r-nc-session1-c_transcript.csv,6,3,18,2,4,2,0,38,0
EVALUATED20230606-a1r-nc-session1-k_transcript.csv,1,2,6,0,0,0,0,8,0
EVALUATED20230606-a1r-yc-session1-d_transcript.csv,2,4,13,2,1,3,1,28,2
